DATE,FLRVAC
2002-01-01,10.2
2003-01-01,11.5
2004-01-01,11.7
2005-01-01,10.1
2006-01-01,10.7
2007-01-01,13.7
2008-01-01,16.9
2009-01-01,17.8
2010-01-01,15.1
2011-01-01,14.9
2012-01-01,13.1
2013-01-01,10.3
2014-01-01,10.1
2015-01-01,8.0
2016-01-01,8.1
2017-01-01,8.5
2018-01-01,8.2
2019-01-01,8.4
2020-01-01,7.3
2021-01-01,6.5
